"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"15-Sep-2020","EQ","791.05","809.85","783.05","794.95","791.80","792.70","795.47","1,170.00","375.25","1,40,24,787","11,15,63,11,755.85","1,92,773"
"14-Sep-2020","EQ","745.00","825.10","744.15","721.65","793.00","794.95","783.61","1,170.00","375.25","3,23,12,531","25,32,03,77,282.45","4,15,569"
"11-Sep-2020","EQ","712.00","734.00","710.15","722.40","720.05","721.65","723.23","1,170.00","375.25","72,21,687","5,22,29,54,988.80","1,20,764"
"10-Sep-2020","EQ","728.65","728.95","713.80","721.95","720.70","722.40","720.77","1,170.00","375.25","33,66,359","2,42,63,71,004.05","67,465"
"09-Sep-2020","EQ","712.10","730.90","710.20","725.90","722.60","721.95","721.31","1,170.00","375.25","55,14,179","3,97,74,32,747.85","1,01,369"
"08-Sep-2020","EQ","708.80","738.90","703.20","708.80","721.85","725.90","727.72","1,170.00","375.25","1,15,22,742","8,38,53,41,841.85","1,86,330"
"07-Sep-2020","EQ","696.35","712.40","689.05","700.80","707.05","708.80","702.03","1,170.00","375.25","42,38,823","2,97,58,01,272.85","89,393"
"04-Sep-2020","EQ","695.15","704.50","692.05","706.75","702.00","700.80","698.83","1,170.00","375.25","33,54,844","2,34,44,80,521.35","49,600"
"03-Sep-2020","EQ","704.80","716.40","697.60","701.95","707.80","706.75","708.45","1,170.00","375.25","54,68,161","3,87,39,14,728.00","1,00,811"
"02-Sep-2020","EQ","689.90","704.80","689.10","689.60","702.70","701.95","698.09","1,170.00","375.25","40,90,511","2,85,55,45,336.95","69,906"
"01-Sep-2020","EQ","695.00","704.00","682.40","694.40","692.25","689.60","695.04","1,170.00","375.25","63,77,322","4,43,25,14,477.35","70,102"
"31-Aug-2020","EQ","705.00","725.00","686.00","706.45","688.65","694.40","704.98","1,170.00","375.25","77,87,176","5,48,97,94,792.90","1,40,233"
"28-Aug-2020","EQ","713.70","716.65","703.20","710.15","705.55","706.45","709.69","1,170.00","375.25","54,16,682","3,84,41,92,015.25","1,15,684"
"27-Aug-2020","EQ","713.55","720.00","706.50","712.80","711.90","710.15","711.92","1,170.00","375.25","39,17,059","2,78,86,14,388.35","62,402"
"26-Aug-2020","EQ","704.70","717.75","697.00","701.60","713.50","712.80","709.35","1,170.00","375.25","45,11,551","3,20,02,52,379.20","76,393"
"25-Aug-2020","EQ","705.00","711.55","694.70","705.70","701.00","701.60","700.41","1,170.00","375.25","39,82,510","2,78,93,72,797.80","61,808"
"24-Aug-2020","EQ","706.05","708.45","695.60","705.90","707.90","705.70","702.77","1,170.00","375.25","40,66,936","2,85,81,38,431.70","62,460"
"21-Aug-2020","EQ","715.00","715.00","702.70","710.10","705.60","705.90","707.21","1,170.00","375.25","41,64,686","2,94,52,97,038.05","64,644"
"20-Aug-2020","EQ","708.50","715.85","706.05","709.85","709.80","710.10","710.84","1,170.00","375.25","30,25,769","2,15,08,40,175.85","46,933"
"19-Aug-2020","EQ","713.80","714.20","705.00","714.45","711.00","709.85","709.03","1,170.00","375.25","48,58,027","3,44,44,85,075.75","69,223"
"18-Aug-2020","EQ","718.95","721.70","712.40","718.85","714.80","714.45","716.61","1,170.00","375.25","36,34,311","2,60,43,83,946.50","55,841"
"17-Aug-2020","EQ","711.10","720.80","709.25","709.10","719.00","718.85","715.87","1,170.00","375.25","33,44,102","2,39,39,26,077.30","86,749"
"14-Aug-2020","EQ","727.90","727.90","707.25","724.60","708.95","709.10","715.41","1,170.00","375.25","38,87,303","2,78,10,32,992.30","65,815"
"13-Aug-2020","EQ","717.00","729.00","713.05","717.10","718.55","724.60","723.60","1,170.00","375.25","88,50,424","6,40,41,85,126.95","1,05,881"
"12-Aug-2020","EQ","680.60","719.00","677.05","683.80","715.65","717.10","704.18","1,170.00","375.25","1,30,85,422","9,21,44,91,849.10","1,54,176"
"11-Aug-2020","EQ","694.00","700.95","681.50","692.05","684.00","683.80","690.04","1,170.00","375.25","39,56,472","2,73,01,27,036.50","55,301"
"10-Aug-2020","EQ","694.95","694.95","685.10","690.30","693.25","692.05","690.25","1,170.00","375.25","37,69,575","2,60,19,48,470.75","55,235"
"07-Aug-2020","EQ","699.90","699.90","685.00","704.90","689.90","690.30","691.26","1,170.00","375.25","73,71,589","5,09,56,82,983.85","96,981"
"06-Aug-2020","EQ","692.00","707.60","686.40","688.40","703.40","704.90","699.71","1,170.00","375.25","51,33,012","3,59,16,00,807.65","69,136"
"05-Aug-2020","EQ","692.65","702.40","681.00","692.65","689.50","688.40","691.03","1,170.00","375.25","60,52,234","4,18,22,98,931.70","92,508"
"04-Aug-2020","EQ","709.50","711.00","687.05","705.95","692.50","692.65","693.47","1,170.00","375.25","66,83,186","4,63,45,76,579.45","1,27,895"
"03-Aug-2020","EQ","709.10","718.00","700.55","705.20","707.70","705.95","707.54","1,170.00","375.25","55,46,348","3,92,42,82,897.80","1,02,748"
